gap_gamma,lap_gamma_mean,lap_gamma_min,lap_gamma_max,sharpen_sigma,usm_detail_weight,blend_sharpened,effective_detail_weight,file,label
0.9758,0.9716405868530273,0.9709600210189819,0.9806399941444397,1.5,1.5,0.8,1.2,001836_03.jpg,Night
0.9097,0.8937562704086304,0.8916400074958801,0.9277600049972534,1.5,1.5,0.8,1.2,001895_03.jpg,Night
0.9338,0.9223183989524841,0.9205600023269653,0.9470400214195251,1.5,1.5,0.8,1.2,001845_03.jpg,Night
1.0059,1.0069878101348877,1.0047199726104736,1.0070799589157104,1.5,1.5,0.8,1.2,002028_04.jpg,Night
