run,label,epoch,loss,gamma_loss,gamma_mean,gamma_min,gamma_max,gamma_night_mean,sharpness_mean,sharpness_min,sharpness_max,night_prob_mean,AP,AP50,AP75,AR100
proposed_10to50_finetune,Proposed finetune 10-50,27,0.084184,0.002677,0.998354,0.977892,1.018817,1.017255,0.013449,0.002668,0.024229,0.360913,,,,
proposed_10to50_finetune,Proposed finetune 10-50,28,0.083588,0.002463,0.98792,0.967258,1.008583,0.988323,0.018765,0.003707,0.033824,0.370051,,,,
proposed_10to50_finetune,Proposed finetune 10-50,29,0.079895,0.002027,0.985514,0.966198,1.00483,0.980057,0.028876,0.006691,0.05106,0.362688,,,,
proposed_10to50_finetune,Proposed finetune 10-50,30,0.07975,0.002418,0.984073,0.963565,1.00458,0.975615,0.025146,0.005595,0.044696,0.361721,0.721,0.923,0.804,0.8
proposed_10to50_finetune,Proposed finetune 10-50,31,0.077974,0.002179,0.988549,0.96923,1.007868,0.987321,0.018868,0.004182,0.033555,0.363437,,,,
proposed_10to50_finetune,Proposed finetune 10-50,32,0.076373,0.001981,0.984341,0.965322,1.003361,0.976129,0.02692,0.006411,0.047428,0.365417,,,,
proposed_10to50_finetune,Proposed finetune 10-50,33,0.074387,0.001934,0.983091,0.96488,1.001302,0.972393,0.029371,0.007418,0.051324,0.355906,,,,
proposed_10to50_finetune,Proposed finetune 10-50,34,0.073794,0.001963,0.980622,0.961873,0.999371,0.965461,0.019837,0.004665,0.03501,0.36776,,,,
proposed_10to50_finetune,Proposed finetune 10-50,35,0.073419,0.002304,0.986716,0.966394,1.007038,0.987492,0.021549,0.004668,0.03843,0.368568,0.721,0.923,0.807,0.798
proposed_10to50_finetune,Proposed finetune 10-50,36,0.070814,0.002753,0.983057,0.960297,1.005817,0.976161,0.017258,0.003373,0.031143,0.360989,,,,
proposed_10to50_finetune,Proposed finetune 10-50,37,0.070664,0.002387,0.980511,0.959407,1.001615,0.967289,0.024452,0.005274,0.043629,0.358016,,,,
proposed_10to50_finetune,Proposed finetune 10-50,38,0.070015,0.002582,0.982298,0.959859,1.004737,0.975571,0.027417,0.006242,0.048593,0.370633,,,,
proposed_10to50_finetune,Proposed finetune 10-50,39,0.067748,0.002886,0.977491,0.954438,1.000545,0.959406,0.027914,0.006386,0.049442,0.369683,,,,
proposed_10to50_finetune,Proposed finetune 10-50,40,0.067257,0.002117,0.986837,0.966609,1.007064,0.989561,0.027283,0.00673,0.047836,0.363858,0.716,0.917,0.819,0.796
proposed_10to50_finetune,Proposed finetune 10-50,41,0.06862,0.002892,0.981788,0.957824,1.005751,0.976301,0.034491,0.007983,0.060999,0.375876,,,,
proposed_10to50_finetune,Proposed finetune 10-50,42,0.067164,0.002374,0.9902,0.969721,1.010679,1.000696,0.026955,0.006736,0.047174,0.355777,,,,
proposed_10to50_finetune,Proposed finetune 10-50,43,0.065979,0.003304,0.994278,0.968978,1.019578,1.02071,0.025044,0.006105,0.043984,0.357959,,,,
proposed_10to50_finetune,Proposed finetune 10-50,44,0.063705,0.003095,0.986176,0.961026,1.011326,0.993509,0.028053,0.006245,0.049861,0.36128,,,,
proposed_10to50_finetune,Proposed finetune 10-50,45,0.062797,0.002733,0.984009,0.960562,1.007455,0.984965,0.02477,0.005876,0.043664,0.367183,0.722,0.914,0.83,0.797
proposed_10to50_finetune,Proposed finetune 10-50,46,0.063309,0.002751,0.980059,0.957957,1.00216,0.969607,0.026694,0.006515,0.046872,0.362826,,,,
proposed_10to50_finetune,Proposed finetune 10-50,47,0.063461,0.002188,0.985283,0.964705,1.005862,0.98494,0.028368,0.0062,0.050535,0.368939,,,,
proposed_10to50_finetune,Proposed finetune 10-50,48,0.062461,0.002682,0.986933,0.962984,1.010883,0.993743,0.032686,0.007644,0.057727,0.361697,,,,
proposed_10to50_finetune,Proposed finetune 10-50,49,0.060746,0.002265,0.984524,0.963595,1.005453,0.982838,0.031773,0.00763,0.055917,0.363889,,,,
proposed_10to50_finetune,Proposed finetune 10-50,50,0.060464,0.003149,0.990115,0.964638,1.015592,1.002906,0.02094,0.003742,0.038138,0.365054,0.715,0.913,0.815,0.793
active_filter_original_lr,Active filter original LR,1,0.164193,0.001945,0.989814,0.957266,1.015854,0.970227,0.124646,0.001366,0.343215,0.364829,,,,
active_filter_original_lr,Active filter original LR,2,0.147856,0.002102,0.979322,0.937853,1.006194,0.941921,0.031396,0.000304,0.102937,0.361303,,,,
active_filter_original_lr,Active filter original LR,3,0.138713,0.001608,0.984658,0.949541,1.009105,0.955409,0.029903,0.00026,0.096601,0.363929,,,,
active_filter_original_lr,Active filter original LR,4,0.12988,0.001953,0.974874,0.93106,1.000889,0.928758,0.030326,0.000347,0.099568,0.364361,,,,
active_filter_original_lr,Active filter original LR,5,0.124584,0.001236,0.987259,0.9581,1.008441,0.964665,0.023275,0.000213,0.07638,0.360966,0.727,0.935,0.818,0.793
active_filter_original_lr,Active filter original LR,6,0.11733,0.002114,0.977408,0.93747,1.003548,0.937407,0.022256,0.000146,0.073185,0.361486,,,,
active_filter_original_lr,Active filter original LR,7,0.11156,0.001483,0.983627,0.950348,1.007085,0.953937,0.025299,0.000296,0.081904,0.356944,,,,
active_filter_original_lr,Active filter original LR,8,0.107711,0.002001,0.976452,0.935255,1.002661,0.933864,0.02355,0.000205,0.07934,0.364669,,,,
active_filter_original_lr,Active filter original LR,9,0.10373,0.002106,0.973057,0.928941,0.999616,0.923011,0.028863,0.000264,0.095645,0.360782,,,,
active_filter_original_lr,Active filter original LR,10,0.098201,0.001361,0.980266,0.947781,1.002652,0.946183,0.028722,0.000324,0.091415,0.371714,0.715,0.922,0.798,0.79
active_filter_original_lr,Active filter original LR,11,0.098685,0.001486,0.976992,0.940429,1.000309,0.935828,0.01879,0.000142,0.063498,0.363636,,,,
active_filter_original_lr,Active filter original LR,12,0.092904,0.001808,0.973192,0.932796,0.999803,0.926772,0.019201,0.000132,0.062487,0.376571,,,,
active_filter_original_lr,Active filter original LR,13,0.090488,0.001656,0.974677,0.935567,0.999696,0.929315,0.022738,0.000167,0.073228,0.363279,,,,
active_filter_original_lr,Active filter original LR,14,0.089024,0.002291,0.969234,0.92068,0.999533,0.911675,0.021185,0.000174,0.072357,0.357283,,,,
active_filter_original_lr,Active filter original LR,15,0.088349,0.001657,0.977784,0.93945,1.002152,0.93713,0.026166,0.000196,0.090717,0.356646,0.709,0.918,0.801,0.783
active_filter_original_lr,Active filter original LR,16,0.083208,0.001551,0.975375,0.938246,0.999662,0.933054,0.024174,0.000247,0.08316,0.367545,,,,
active_filter_original_lr,Active filter original LR,17,0.083921,0.001768,0.976088,0.935977,1.002498,0.932918,0.023486,0.000174,0.086226,0.360024,,,,
active_filter_original_lr,Active filter original LR,18,0.079916,0.001528,0.977801,0.941498,1.001759,0.938991,0.021567,0.000101,0.079387,0.358153,,,,
active_filter_original_lr,Active filter original LR,19,0.080114,0.002271,0.973042,0.930516,1.002163,0.927472,0.030912,0.0002,0.108318,0.372032,,,,
active_filter_original_lr,Active filter original LR,20,0.076895,0.001601,0.975314,0.93659,0.999562,0.93215,0.025743,0.000175,0.09264,0.364419,0.696,0.9,0.778,0.777
active_filter_original_lr,Active filter original LR,21,0.076401,0.001634,0.974961,0.93629,1.000206,0.932314,0.019829,0.000121,0.073373,0.367319,,,,
active_filter_original_lr,Active filter original LR,22,0.074977,0.001669,0.975422,0.93459,1.000335,0.931412,0.026626,0.000114,0.102202,0.356368,,,,
active_filter_original_lr,Active filter original LR,23,0.073629,0.001536,0.974881,0.934115,1.000064,0.930932,0.030127,0.000158,0.115366,0.358177,,,,
active_filter_original_lr,Active filter original LR,24,0.073766,0.001571,0.97872,0.940184,1.004603,0.944248,0.020864,9.2e-05,0.083954,0.367071,,,,
active_filter_original_lr,Active filter original LR,25,0.072897,0.00121,0.982217,0.948643,1.002486,0.956783,0.01635,6.9e-05,0.067067,0.363407,0.725,0.928,0.822,0.794
active_filter_original_lr,Active filter original LR,26,0.069069,0.0025,0.969571,0.920555,0.99996,0.919273,0.024215,9.1e-05,0.09408,0.367524,,,,
active_filter_original_lr,Active filter original LR,27,0.06913,0.001305,0.978965,0.94142,1.001575,0.947303,0.023734,0.000104,0.093646,0.369514,,,,
active_filter_original_lr,Active filter original LR,28,0.068331,0.001463,0.977383,0.936461,1.001348,0.944656,0.021829,0.000134,0.087636,0.365182,,,,
active_filter_original_lr,Active filter original LR,29,0.065321,0.00187,0.975806,0.929949,1.003473,0.94081,0.023301,8.7e-05,0.093449,0.36533,,,,
active_filter_original_lr,Active filter original LR,30,0.067973,0.001865,0.976746,0.931308,1.005896,0.947072,0.024925,0.000153,0.097164,0.374056,0.725,0.931,0.821,0.79
active_filter_aggressive,Active filter aggressive,1,0.155896,0.005999,0.978343,0.922904,1.021728,0.940262,0.047413,0.000817,0.133661,0.364829,,,,
active_filter_aggressive,Active filter aggressive,2,0.142185,0.003229,0.973402,0.925031,1.006616,0.924632,0.031216,0.000409,0.086222,0.361303,,,,
active_filter_aggressive,Active filter aggressive,3,0.134858,0.00309,0.977172,0.93177,1.01125,0.940028,0.034427,0.000464,0.092212,0.363929,,,,
active_filter_aggressive,Active filter aggressive,4,0.12721,0.003009,0.971873,0.924395,1.002373,0.922221,0.028474,0.000423,0.076189,0.364361,,,,
active_filter_aggressive,Active filter aggressive,5,0.123206,0.002808,0.980879,0.939015,1.014266,0.948682,0.027597,0.00035,0.0743,0.360966,0.726,0.93,0.829,0.79
active_filter_aggressive,Active filter aggressive,6,0.116276,0.002769,0.973734,0.929025,1.004349,0.928312,0.024597,0.000285,0.062782,0.361486,,,,
active_filter_aggressive,Active filter aggressive,7,0.139882,0.400839,1.10635,0.945375,1.335653,1.298935,0.283316,0.003191,0.739744,0.356944,,,,
active_filter_aggressive,Active filter aggressive,8,0.294837,4.614924,2.458675,1.021127,4.724156,5.0,2.917349,0.042255,7.448311,0.364669,,,,
active_filter_aggressive,Active filter aggressive,9,0.253036,4.55867,2.443127,1.021718,4.69281,5.0,2.886254,0.043435,7.385619,0.360782,,,,
active_filter_aggressive,Active filter aggressive,10,0.241375,4.697734,2.486855,1.028172,4.698556,5.0,2.973709,0.056344,7.397111,0.371714,0.688,0.908,0.77,0.768
active_filter_aggressive,Active filter aggressive,11,0.225267,4.594091,2.454543,1.020937,4.706762,5.0,2.909086,0.041873,7.413522,0.363636,,,,
active_filter_aggressive,Active filter aggressive,12,0.218199,4.803598,2.506284,1.021954,4.722865,5.0,3.012568,0.043908,7.445729,0.376571,,,,
active_filter_aggressive,Active filter aggressive,13,0.210115,4.597387,2.453116,1.018627,4.696704,5.0,2.906231,0.037253,7.393408,0.363279,,,,
active_filter_aggressive,Active filter aggressive,14,0.200636,4.490692,2.42913,1.020737,4.68373,5.0,2.858259,0.041473,7.367459,0.357282,,,,
active_filter_aggressive,Active filter aggressive,15,0.196667,4.500631,2.426582,1.021974,4.702174,5.0,2.853164,0.043948,7.404347,0.356646,0.689,0.909,0.771,0.768
active_filter_aggressive,Active filter aggressive,16,0.190021,4.643797,2.470179,1.022657,4.701902,5.0,2.940357,0.045315,7.403804,0.367545,,,,
active_filter_aggressive,Active filter aggressive,17,0.184477,4.559991,2.440095,1.022153,4.679212,5.0,2.880189,0.044307,7.358423,0.360024,,,,
